INVOICE_NUMBER,VOUCHER_NUMBER,AMOUNT,INVOICE_DATE,SOURCE_FILE_SUPPLIER_NUMBER,FUSION_SUPPLIER_NUMBER,FUSION_SUPPLIER_NAME,FUSION_SUPPLIER_SITE,PAYMENT_TERMS,COST_CENTRE,GL_ACCOUNT,ANALYSIS_CODE,FUSION_DISTRIBUTION_COMBINATION,VAT_CODE,FUSION_TAX_CODE,INVOICE_IDENTIFIER_AT_HDR,INVOICE_IDENTIFIER_AT_LINE,,OIC_INSTANCE_ID,STATUS,ERROR_MESSAGE,LINE_STATUS,LINE_ERROR_MESSAGE
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.39,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.94,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.39,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.39,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,11.04,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,3.29,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.39,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,3.29,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,6.26,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7187346,31062877,0.57,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7187346,7187346,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.39,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,5.49,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,5.69,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7187346,31062877,10.12,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P1,STANDARD RATE INPUT,7187346,7187346,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,6.26,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7199595,31062880,0.57,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7199595,7199595,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
19109,31062879,327.46,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P1,STANDARD RATE INPUT,19109,19109,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.39,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,8.7,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,7.34,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P1,STANDARD RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,11.22,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
I703378,,44.45,2025-10-01T00:00:00.000+00:00,21004296,21004296,Ulverscroft Large Print Books Ltd,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P1,STANDARD RATE INPUT,I703378,I703378,3255,_xMRIZ5_EfC7P-1-nJoTkw,STD_ERROR,Duplicate invoice number,STD_ERROR,Duplicate invoice number
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,3.84,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,5.69,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,7.14,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7199595,31062880,8.92,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P1,STANDARD RATE INPUT,7199595,7199595,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,7.14,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,5.35,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,11.4,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.39,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,8.84,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,11.69,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,17.1,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,7.4,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.39,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,5.3,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.71,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,4.39,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,6.26,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7206500,31062878,0.57,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7206500,7206500,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7206500,31062878,5.78,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P1,STANDARD RATE INPUT,7206500,7206500,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,0.62,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
7207720,31062876,5.69,2025-10-01T00:00:00.000+00:00,21003150,21003150,Askews & Holts Library Service,MAIN,Immediate,E26315,4539,analysis,R01.LLB008.400305.000000.000000000000.000000.000000,P3,ZERO RATE INPUT,7207720,7207720,3255,_xMRIZ5_EfC7P-1-nJoTkw,SUCCESS,,SUCCESS,
